Volume (mL),pH
0.0,4.13
0.2,4.14
0.4,4.18
0.6,4.23
0.8,4.26
1.0,4.29
1.2,4.33
1.4,4.37
1.6,4.41
1.8,4.45
2.0,4.48
2.2,4.51
2.4,4.54
2.6,4.58
2.8,4.61
3.0,4.64
3.2,4.68
3.4,4.71
3.6,4.75
3.8,4.77
4.0,4.81
4.2,4.85
4.4,4.88
4.6,4.92
4.8,4.96
5.0,4.99
5.2,5.05
5.4,5.08
5.6,5.12
5.8,5.19
6.0,5.23
6.2,5.28
6.4,5.34
6.6,5.40
6.8,5.49
7.0,5.57
7.2,5.65
7.4,5.76
7.6,5.96
7.8,6.30
8.0,6.76
8.2,10.08
8.4,11.09
