con,N1,N2,N3,Average,N1_calc,N2_calc,N3_calc,MeanN,SDN
0,0.501,0.41,0.418,0.443,113.0926,92.55079,94.35666,100,9.28714
0.3,0.239,0.231,0.189,0.219667,53.95034,52.14447,42.66366,49.58616,4.950153
1,0.162,0.191,0.149,0.167333,36.56885,43.11512,33.63431,37.77276,3.963038
3,0.155,0.155,0.114,0.141333,34.98871,34.98871,25.73363,31.90369,4.362886
10,-0.007,-0.005,-0.007,-0.00633,-1.58014,-1.12867,-1.58014,-1.42965,0.212824
