con,N1,N2,N3,Average,N1_calc,N2_calc,N3_calc,MeanN,SDN
0,0.501,0.41,0.418,0.443,113.0926,92.55079,94.35666,100,9.28714
0.3,0.258,0.279,0.217,0.251333333,58.23928,62.97968,48.9842,56.73438676,5.81188
1,0.264,0.268,0.213,0.248333333,59.59368,60.49661,48.08126,56.05718585,5.651862
3,0.223,0.233,0.191,0.215666667,50.3386,52.59594,43.11512,48.68322047,4.043651
10,0.048,0.053,0.053,0.051333333,10.83521,11.96388,11.96388,11.58765989,0.532059
