con,N1,N2,N3,Average,N1_calc,N2_calc,N3_calc,MeanN,SDN
0,0.501,0.41,0.418,0.443,113.0926,92.55079,94.35666,100,9.28714
0.3,0.313,0.256,0.204,0.257667,70.65463,57.78781,46.04966,58.16403,10.04846
1,0.284,0.28,0.208,0.257333,64.10835,63.20542,46.9526,58.08879,7.883101
3,0.275,0.273,0.226,0.258,62.07675,61.62528,51.0158,58.23928,5.111093
10,0.083,0.039,0.054,0.058667,18.73589,8.803612,12.18962,13.24304,4.122687
