con,N1,N2,N3,Average,N1_calc,N2_calc,N3_calc,MeanN,SDN
0.0,0.438,0.398,0.417,0.417666667,104.868316,95.29130088,99.84038308,100.0,3.911428812
0.3,0.396,0.417,0.424,0.412333333,94.81245012,99.84038308,101.5163607,98.72306464,2.848614253
1.0,0.389,0.368,0.407,0.388,93.13647247,88.10853951,97.44612929,92.89704709,3.815812638
3.0,0.289,0.285,0.3,0.291333333,69.19393456,68.23623304,71.82761373,69.75259377,1.518459504
10.0,0.001,0.001,0.012,0.004666667,0.239425379,0.239425379,2.873104549,1.117318436,1.241528267
