con,N1,N2,N3,Average,N1_calc,N2_calc,N3_calc,MeanN,SDN
0.0,0.438,0.398,0.417,0.417666667,104.868316,95.29130088,99.84038308,100.0,3.911428812
0.3,0.299,0.319,0.319,0.312333333,71.58818835,76.37669593,76.37669593,74.78052674,2.257324122
1.0,0.229,0.343,0.385,0.319,54.82841181,82.12290503,92.17877095,76.37669593,15.78029407
3.0,0.14,0.183,0.207,0.176666667,33.51955307,43.81484437,49.56105347,42.29848364,6.636110616
10.0,0.256,0.277,0.282,0.271666667,61.29289705,66.32083001,67.5179569,65.04389465,2.697006424
