con,N1,N2,N3,Average,N1_calc,N2_calc,N3_calc,MeanN,SDN
0.0,0.438,0.398,0.417,0.417666667,104.868316,95.29130088,99.84038308,100.0,3.911428812
0.3,0.326,0.323,0.34,0.329666667,78.05267358,77.33439745,81.40462889,78.93056664,1.773831666
1.0,0.344,0.319,0.33,0.331,82.36233041,76.37669593,79.0103751,79.24980048,2.449482722
3.0,0.112,0.113,0.118,0.114333333,26.81564246,27.05506784,28.25219473,27.37430168,0.62841244
10.0,0.225,0.229,0.261,0.238333333,53.8707103,54.82841181,62.49002394,57.06304868,3.85731715
