con,N1,N2,N3,Average,N1_calc,N2_calc,N3_calc,MeanN,SDN
0.0,0.438,0.398,0.417,0.417666667,104.868316,95.29130088,99.84038308,100.0,3.911428812
0.3,0.326,0.35,0.354,0.343333333,78.05267358,83.79888268,84.7565842,82.20271349,2.960452832
1.0,0.329,0.371,0.369,0.356333333,78.77094972,88.82681564,88.34796488,85.31524342,4.631641861
3.0,0.16,0.169,0.226,0.185,38.30806065,40.46288907,54.11013567,44.29369513,6.996794507
10.0,0.406,0.403,0.428,0.412333333,97.20670391,96.48842777,102.4740623,98.72306464,2.668516121
