con,N1,N2,N3,Average,N1_calc,N2_calc,N3_calc,MeanN,SDN
0,0.385,0.356,0.339,0.36,106.9444,98.88889,94.16667,100,5.275341
0.3,0.363,0.388,0.344,0.365,100.8333,107.7778,95.55556,101.3888889,5.005141
1,0.277,0.262,0.277,0.272,76.94444,72.77778,76.94444,75.55555556,1.964186
3,0.27,0.278,0.359,0.302333333,75,77.22222,99.72222,83.98148148,11.1673
10,0.105,0.084,0.09,0.093,29.16667,23.33333,25,25.83333333,2.453267
