con,N1,N2,N3,Average,N1_calc,N2_calc,N3_calc,MeanN,SDN
0,0.385,0.356,0.339,0.36,106.9444,98.88889,94.16667,100,5.275341
0.3,0.349,0.32,0.345,0.338,96.94444,88.88889,95.83333,93.88889,3.564514
1,0.369,0.395,0.363,0.375667,102.5,109.7222,100.8333,104.3519,3.857901
3,0.388,0.383,0.34,0.370333,107.7778,106.3889,94.44444,102.8704,5.984949
10,0.184,0.164,0.228,0.192,51.11111,45.55556,63.33333,53.33333,7.425903
