con,N1,N2,N3,Average,N1_calc,N2_calc,N3_calc,MeanN,SDN
0,0.385,0.356,0.339,0.36,106.9444,98.88889,94.16667,100,5.275341
0.3,0.392,0.334,0.297,0.341,108.8889,92.77778,82.5,94.72222,10.8606
1,0.334,0.327,0.259,0.306667,92.77778,90.83333,71.94444,85.18519,9.396209
3,0.226,0.227,0.219,0.224,62.77778,63.05556,60.83333,62.22222,0.988618
10,-0.006,0,0,-0.002667,-1.66667,0,-0.555556,-0.74074,0.6929
