con,N1,N2,N3,Average,N1_calc,N2_calc,N3_calc,MeanN,SDN
0,0.385,0.356,0.339,0.36,106.9444,98.88889,94.16667,100,5.275341
0.3,0.382,0.293,0.319,0.331333,106.1111,81.38889,88.61111,92.03704,10.37946
1,0.383,0.247,0.319,0.316333,106.3889,68.61111,88.61111,87.80737,15.4316
3,0.34,0.341,0.325,0.335333,94.44444,94.72222,90.27778,93.14815,2.032824
10,0.103,0.122,0.118,0.114333,28.61111,33.88889,32.77778,31.75926,2.271823
