con,N1,N2,N3,Average,N1_calc,N2_calc,N3_calc,MeanN,SDN
0.0,0.78,0.761,0.689,0.743333333,186.7517957,182.2027135,164.9640862,177.9728651,9.384198924
0.3,0.46,0.526,0.5,0.495333333,110.1356744,125.9377494,119.7126895,118.5953711,6.499368898
1.0,0.398,0.43,0.459,0.429,95.29130088,102.952913,109.896249,102.7134876,5.964848185
3.0,0.024,0.022,0.03,0.025333333,5.746209098,5.26735834,7.182761373,6.065442937,0.813889787
10.0,0.043,0.054,0.041,0.046,10.2952913,12.92897047,9.816440543,11.01356744,1.368430024
