con,N1,N2,N3,Average,N1_calc,N2_calc,N3_calc,MeanN,SDN
0.0,0.78,0.761,0.689,0.743333333,186.7517957,182.2027135,164.9640862,177.9728651,9.384198924
0.3,0.569,0.588,0.632,0.596333333,136.2330407,140.7821229,151.3168396,142.7773344,6.317483616
1.0,0.566,0.546,0.634,0.582,135.5147646,130.726257,151.7956903,139.3455706,9.018002804
3.0,0.352,0.378,0.365,0.365,84.27773344,90.5027933,87.39026337,87.39026337,2.541370044
10.0,0.014,0.014,0.013,0.013666667,3.351955307,3.351955307,3.112529928,3.272146848,0.112866206
