con,N1,N2,N3,Average,N1_calc,N2_calc,N3_calc,MeanN,SDN
0.0,0.78,0.761,0.689,0.743333333,186.7517957,182.2027135,164.9640862,177.9728651,9.384198924
0.3,0.505,0.503,0.51,0.506,120.9098164,120.4309657,122.1069433,121.1492418,0.704849231
1.0,0.484,0.438,0.507,0.476333333,115.8818835,104.868316,121.3886672,114.0462889,6.868165993
3.0,0.076,0.095,0.091,0.087333333,18.19632881,22.74541101,21.7877095,20.90981644,1.95815549
10.0,0.182,0.179,0.2,0.187,43.57541899,42.85714286,47.88507582,44.77254589,2.220339624
