con,N1,N2,N3,Average,N1_calc,N2_calc,N3_calc,MeanN,SDN
0.0,0.78,0.761,0.689,0.743333333,186.7517957,182.2027135,164.9640862,177.9728651,9.384198924
0.3,0.512,0.526,0.482,0.506666667,122.5857941,125.9377494,115.4030327,121.3088587,4.394541069
1.0,0.472,0.442,0.522,0.478666667,113.0087789,105.8260176,124.9800479,114.6049481,7.900634427
3.0,0.12,0.129,0.114,0.121,28.73104549,30.8858739,27.29449322,28.97047087,1.47591716
10.0,0.103,0.098,0.1,0.100333333,24.66081405,23.46368715,23.94253791,24.02234637,0.491972387
